,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US xAOC,ALCOHOL,GIN,GIN,OLD WORLD SPIRITS LLC,RUSTY BLADE,RUSTY BLADE,RSTY BLD GIN 750 ML 079830414460,,50,,,220,55,,,56,55,,141,811,463,554,60,,875,,,,30,,,,,,138,,,,,,1,,,4,1,,,1,1,,3,24,14,16,2,,13,,,,1,,,,,,8,,,,,,602.29,,,660.39,662.53,,,661.19,662.53,,563.64,408.07,408,424.91,359.16,,828.27,,,,361.33,,,,,,207.6,,,,,,0,,,0,0,,,0,0,,0,0,0,0,0,,0,,,,0,,,,,,0,,,,
Total US xAOC,ALCOHOL,GIN,GIN,OOLA DISTILLERY,OOLA,OOLA,OOL GIN 90 PRF 750 ML 085572900321,731,"1,187","1,425","1,185","2,106","2,363","1,249","1,985","2,057","1,075","1,152","2,482","1,379","1,577","1,292","1,398","1,191","2,652","1,638","1,672","1,816","1,105","1,213","3,352","1,530","1,286","2,105","2,222","2,661","3,014","2,103","2,462",21,34,41,34,60,69,36,56,59,31,33,73,40,45,37,40,34,77,48,48,52,32,35,96,44,37,61,65,76,86,60,69,417.83,419.02,417.16,418.28,424.18,411.01,416.45,425.43,420.24,416.34,418.95,408.22,413.84,420.53,419.09,419.54,420.43,414.39,409.64,418.16,419.16,414.47,415.86,419.16,417.34,417.14,414.35,410.31,420.23,420.35,420.06,430.3,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,GIN,GIN,OOLA DISTILLERY,OOLA,OOLA,OOL GIN 94 PRF 750 ML 085572900302,"1,851","2,019","3,966","2,061","2,221","5,367","4,097","4,674","5,672","3,189","4,128","5,683","3,238","3,616","3,763","3,314","3,660","6,370","4,479","3,924","5,290","4,709","1,435","5,399","4,948","4,843","6,504","5,909","5,488","7,060","4,720","3,858",53,58,121,57,61,161,124,140,177,96,125,175,97,111,114,104,113,198,137,121,189,166,55,189,173,166,232,208,185,244,163,139,419.24,419.8,392.93,434.15,435.92,398.95,397.07,399.49,385.06,398.17,396.8,390.05,398.89,391.5,394.75,380.85,388.9,385.33,392.79,390.43,335.23,340.94,313.1,342.68,344.04,350.83,336.09,340.41,356.24,347.27,348.08,333.63,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0
Total US xAOC,ALCOHOL,GIN,GIN,OREGON BREWING COMPANY,ROGUE,ROGUE,RG GIN PNK SPRC 90 PRF 750 ML 009530114408,317,345,352,683,415,212,247,179,234,107,216,71,104,36,40,119,117,316,80,118,160,116,240,557,40,,80,577,640,"1,017",42,80,9,10,10,20,12,6,7,5,6,3,6,2,3,1,1,3,3,8,2,3,4,3,6,14,1,,2,14,16,26,1,2,422.53,414.01,422.03,410.92,414.86,424.32,424.49,429.9,467.86,426.52,432.52,422.6,412.38,433.61,481.81,475.72,467.72,473.93,478.68,471.72,480,463.72,479.96,477.32,481.33,,478.44,483.25,486.84,478.01,504.88,478.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,OREGON BREWING COMPANY,ROGUE,ROGUE SPIRITS,RG SPR SPRC GIN 90 PRF 750 ML 009530114404,"2,655","2,283","2,954","2,954","2,585","3,278","2,692","2,542","2,631","2,520","2,124","4,672","2,629","2,305","5,285","3,883",976,"1,928","1,630",673,"2,041","1,584",976,"3,559","1,933","2,912","4,231","4,000","5,101","5,693","4,633","4,071",79,70,98,94,76,91,75,72,73,74,60,129,72,69,171,120,28,51,56,17,55,43,26,95,51,92,123,112,142,157,129,112,403.38,391.47,361.93,377.13,408.28,432.44,430.73,422.14,432.7,407.58,424.9,434.74,438.56,401.78,370.11,388.23,418.7,454.27,351.9,475.13,445.04,437.57,450.6,449.69,455.15,380.48,412.96,427.51,431.27,435.28,431.21,436.37,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,GIN,GIN,PACIFIC DISTILLERY LLC,VOYAGER,VOYAGER,VYGR GIN 84 PRF 750 ML 089832200206,"1,224","1,145","1,687",944,"1,218","1,875","1,595","1,067","1,347",764,958,"1,176","1,117","1,081","1,048","1,116",841,521,"1,225","1,262",783,723,557,"1,211","1,195","1,382","2,886","1,369","1,312","3,243","2,461","3,229",46,43,62,33,44,68,57,39,48,28,35,44,41,39,43,43,32,20,46,45,28,26,20,43,43,49,103,48,46,115,87,116,319.52,319.65,326.54,343.42,331.76,330.51,335.02,328.35,336.89,327.5,328.52,320.8,327.06,332.69,292.45,311.63,315.3,312.91,319.64,336.66,335.62,333.69,334.58,338.21,333.83,339.51,337.22,339.97,343.19,339.1,338.53,335.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PACIFIC EDGE MARKETING GROUP INC,CITY OF LONDON,CITY OF LONDON,CTY LND LNDN DRY GIN 94 PRF 1000 ML 084908000004,"1,301","2,004","1,265","2,022",518,"1,980","1,270","1,063","1,784","2,398","2,122","3,005","1,863","2,539","1,993","1,748",877,"1,338",292,"1,249",279,554,"1,075",241,"1,033",,"1,343",557,"2,100","1,124",281,"1,124",61,100,62,101,26,99,62,51,89,115,102,139,87,124,96,81,40,64,13,61,12,25,48,12,48,,60,24,98,49,12,49,190.7,180.66,183.52,180.64,180.99,179.93,183.52,188.93,179.93,187.93,186.68,194.61,193,184.76,186.11,193.43,198.32,186.93,206.91,185.35,206.91,197.14,200.19,179.94,193.46,,201.53,206.92,193.34,206.91,206.88,206.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PACIFIC EDGE MARKETING GROUP INC,CITY OF LONDON,CITY OF LONDON,CTY LND LNDN DRY GIN 94 PRF 750 ML 084908000000,"1,575","1,591","1,271","2,657",980,"3,327","2,802","2,187","3,597","3,582","2,589","3,582","2,390","3,116","3,771","3,465","2,143","3,195","4,458","2,896","3,849","1,429","2,988","3,024","3,022","3,001","4,735","6,886","6,321","5,153","2,523","3,651",77,80,65,127,50,163,134,106,180,180,123,171,114,148,179,173,106,164,236,158,194,73,152,146,142,141,224,318,293,242,120,181,245.42,239.59,234.7,251.47,235.26,245.13,251.27,248.55,240.4,238.63,253.22,251,251.11,252.08,253.41,241.11,243.48,233.7,226.69,219.78,237.89,234.57,236.64,248.12,255.06,255.42,253.71,259.82,258.77,255.35,252.19,242.04,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PALM BAY INTERNATIONAL,GUNPOWDER,GUNPOWDER,GNPW GIN 750 ML 008678501234,748,"3,637","11,557","11,273","11,434","21,053","22,490","19,763","23,535","19,949","18,903","34,226","19,141","21,687","25,355","21,691","28,301","35,927","32,979","37,093","45,099","32,621","45,327","82,966","34,626","38,414","62,265","56,671","76,827","102,490","70,703","76,314",18,92,310,300,308,561,594,517,612,502,500,902,508,575,673,582,731,950,864,985,"1,198",880,"1,209","2,191",913,"1,012","1,641","1,486","2,013","2,689","1,843","1,997",498.93,475.12,447.4,451.59,446.21,450.49,454.88,459.3,462.03,476.76,453.44,455.69,452.03,453.05,452.07,447.36,465,454.2,458.21,452.07,451.99,444.83,450.06,454.69,455.36,455.5,455.63,457.86,458.27,457.61,460.42,458.86,0,0,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.9,1.2,0.8,0.8,1,1.1,1.3,1.3,1.2,1.2
Total US xAOC,ALCOHOL,GIN,GIN,PALM BAY INTERNATIONAL,TOMMYROTTER,TOMMYROTTER,TMYR GIN 750 ML 060328134299,,,,,34,36,295,363,891,132,720,747,132,474,468,"1,059",683,634,"1,037",675,638,240,132,326,198,165,198,313,794,713,933,"1,153",,,,,1,1,8,11,26,4,21,22,4,14,14,31,20,18,30,20,19,7,4,10,6,5,6,9,23,21,27,39,,,,,409.52,433.61,418.56,396.07,404.05,396.16,405.25,404.78,395.11,412.2,401.65,411.08,415.58,412.73,408.44,410.8,403.25,411.37,396.16,391.81,395.52,395.08,395.5,409.5,414.88,414.2,416.47,355.77,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PANTHER DISTILLERY,BAD MEDICINE,BAD MEDICINE,BAD MDC GIN 80 PRF 750 ML 085534000402,54,,,,23,,25,45,,,,,25,,,,,24,,,,,,24,,,,,,,,,2,,,,1,,1,5,,,,,1,,,,,1,,,,,,6,,,,,,,,,323.23,,,,283.01,,301.08,107.79,,,,,301.08,,,,,295.06,,,,,,47.76,,,,,,,,,0,,,,0,,0,0,,,,,0,,,,,0,,,,,,0,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,"PAY DIRT BRANDS, LLC",MICHAEL GODARD,MICHAEL GODARD,MCHL GDR GIN 750 ML 085015100409,285,181,148,198,148,148,165,82,,,65,31,,25,25,,,,,,13,,15,15,,,,,13,,,26,17,11,9,12,9,9,10,5,,,3,1,,1,1,,,,,,1,,1,1,,,,,1,,,2,201.15,198.02,197.88,197.88,197.88,197.88,197.96,197.72,,,258.12,373.37,,301.08,301.08,,,,,,155.88,,155.62,155.34,,,,,156.51,,,155.57,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,0,,0,0,,,,,0,,,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR DRNK CNTN SET LNDN DRY GIN BOX 1 CT 008954036367,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR DRNK CNTN SET LNDN DRY GIN BOX 1 CT 008954048316,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR GIN 86 PRF 750 ML 008954051082,90,45,,,94,,,,,,,,,,,,,,,,,,,75,,,,,,,87,,4,2,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,270.03,269.22,,,562.87,,,,,,,,,,,,,,,,,,,897.95,,,,,,,"1,048.07",,0,0,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR GIN 94 PRF PLST TS 50 ML 008954041011,"1,048","1,114","1,001",925,"1,543",983,"1,488","2,145",727,388,300,457,365,259,568,322,318,249,376,103,103,205,129,196,85,16,34,12,48,25,56,36,481,534,479,444,693,441,662,808,349,190,156,201,143,108,256,146,141,98,140,48,48,85,56,97,39,8,18,5,21,15,25,18,388.98,372.22,372.86,372.06,397.36,398.1,401.71,474.05,371.82,364.96,343.34,405.75,455.09,428.2,396.21,394.1,404.02,454.1,481.8,384.09,384.46,429.11,409.28,358.96,387.71,349.33,331.88,412.5,406.19,300.6,398.93,353.66,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR GIN PNK STRW 750 ML 008043211403,,,,,,,,72,"6,249","9,035","10,060","13,824","9,504","11,708","19,100","18,505","29,317","56,719","41,146","36,312","47,520","35,968","36,896","58,041","38,204","37,453","58,171","56,207","59,466","69,637","46,735","44,720",,,,,,,,4,351,486,550,770,515,645,"1,039","1,023","1,676","3,259","2,391","2,068","2,715","2,088","2,229","3,539","2,233","2,254","3,455","3,413","3,570","5,059","2,979","2,692",,,,,,,,215.86,213.72,223.18,219.59,215.48,221.43,217.97,220.67,217.07,210.04,208.94,206.6,210.82,210.11,206.77,198.73,196.9,205.37,199.47,202.14,197.69,199.96,165.23,188.33,199.43,,,,,,,,0,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.8,1.1,1.6,1.7,1.5,1.5,1.5,1.5,1.9,1.6,1.6,1.8,2.2,2.3,2.1,1.9,1.7
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 1750 ML 008954033347,"413,470","414,414","525,755","426,051","439,757","621,282","479,022","487,009","560,094","427,314","442,972","582,902","405,570","394,655","506,054","442,776","446,986","609,106","515,848","509,207","591,917","436,511","478,669","611,812","426,165","461,887","760,250","664,740","685,283","812,945","640,180","603,611","13,972","13,648","17,308","14,019","14,354","20,793","15,649","16,088","17,877","13,751","14,494","18,744","12,915","12,409","16,268","14,653","14,482","19,660","16,599","16,687","19,204","14,329","15,856","20,376","13,993","15,098","24,396","21,382","21,969","26,028","20,841","19,401",152.22,156.2,156.25,156.34,157.59,153.7,157.46,155.72,161.16,159.86,157.22,159.97,161.54,163.61,160.02,155.44,158.77,159.37,159.86,156.98,158.55,156.71,155.29,154.45,156.67,157.38,160.3,159.92,160.46,160.67,158.01,160.04,4.3,4.6,4.6,4.6,4.6,4.9,4.8,4.8,4.6,4.6,4.6,4.8,4.4,4.4,4.5,4.8,5,5.2,5.3,5.3,5.1,5,5.2,5.4,5,5.1,5.9,6.3,6.3,6.1,6,5.7
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 200 ML 008954033352,343,569,971,697,594,702,272,391,937,530,546,431,235,156,112,185,87,190,115,61,66,89,20,90,25,21,31,34,16,34,88,27,63,96,145,102,96,112,51,68,142,86,89,66,38,25,20,29,14,29,13,10,12,12,4,13,4,3,4,5,2,5,15,3,246.57,266.52,300.6,306.66,280.18,283.62,240.66,260.29,297.91,278.46,275.61,294.47,278.67,281.21,252.61,286.66,280.26,293.15,397.61,276.94,247.22,335.11,222.47,312.56,280,312.39,348.65,307.75,363.18,305.14,265.62,402.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 750 ML 008043211261,,,,844,"7,413","13,224","10,604","12,352","15,281","12,479","13,154","17,553","9,735","9,729","11,125","9,265","9,509","15,782","13,885","13,051","10,642","4,131","2,213","2,706",793,645,688,768,258,498,210,20,,,,44,409,706,591,658,843,664,728,986,545,544,621,519,537,836,725,684,555,216,116,142,41,35,38,39,13,27,12,1,,,,230.2,217.57,224.99,215.52,225.35,217.62,225.62,216.91,213.71,214.42,214.7,215.07,214.3,212.59,226.63,229.91,229.05,230.2,229.57,229.06,228.79,232.12,221.14,217.32,236.26,238.11,221.49,210.48,240.84,,,,0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 750 ML 008043211262,,,,,240,379,365,280,40,25,,300,"1,044","1,292","1,293",806,711,474,243,329,668,803,"1,193","2,271",876,649,451,221,212,439,,21,,,,,12,19,18,14,2,1,,14,47,58,56,37,32,21,10,14,29,36,52,102,40,28,19,10,9,21,,1,,,,,239.8,239.71,243.32,239.86,239.4,301.08,,257.17,266.68,267.53,276.58,261.12,266.55,270.89,292.2,282.47,276.69,267.75,275.38,267.25,262.79,278.14,285.1,265.79,283.15,250.86,,252.89,,,,,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 750 ML 008954033349,"446,849","459,355","582,473","500,874","532,515","714,076","592,645","576,662","658,081","466,525","502,874","662,083","475,108","481,434","598,794","503,214","523,252","701,863","605,484","584,352","698,833","503,136","506,839","724,033","476,534","484,753","760,928","730,363","745,379","901,172","696,672","652,263","25,004","25,339","32,840","28,477","30,479","40,368","33,830","32,169","37,197","26,639","29,230","38,361","27,125","27,209","34,185","28,298","29,907","39,583","33,857","32,529","39,256","27,849","28,909","42,150","27,248","27,457","42,231","39,651","40,852","48,529","38,300","35,971",214.54,217.63,212.92,211.15,209.74,212.35,210.3,215.2,212.39,210.24,206.53,207.2,210.27,212.41,210.28,213.48,210.04,212.86,214.69,215.66,213.71,216.89,210.47,206.22,209.95,211.94,216.3,221.13,219.04,222.93,218.36,217.68,8.2,8.1,8.4,8.7,8.9,9.1,9.3,9.1,8.8,8.3,8.9,9.1,8.5,8.4,8.5,8.8,9.1,9.5,10.1,9.7,9.6,9.1,9.3,10.5,9.3,9.3,10.2,10.9,11.2,10.9,11,10.5
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 750 ML BOX W/MRTN GLS 008954042460,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 1000 ML 008469200006,,,,,,,,,12,,,400,,,790,,,,,,,,400,800,390,390,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,104.51,,,"3,603.51",,,"3,558.47",,,,,,,,"3,603.51","3,603.51","3,513.42","3,513.42",,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,,0,0,0,0,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 1000 ML 008954033348,"38,673","41,402","90,893","45,992","58,537","77,511","62,279","51,817","65,672","43,294","48,918","69,199","39,619","40,172","47,815","46,061","49,424","65,693","61,405","58,852","63,647","46,078","42,318","70,028","38,329","37,480","66,471","59,744","67,053","84,242","79,398","66,325","1,561","1,676","4,203","1,899","2,372","3,178","2,493","2,066","2,625","1,732","1,955","2,766","1,582","1,603","1,897","1,853","1,991","2,641","2,448","2,335","2,547","1,847","1,703","2,812","1,545","1,583","2,629","2,364","2,673","3,395","3,184","2,638",223.07,222.38,194.67,218.04,222.17,219.51,224.85,225.71,225.16,224.99,225.26,225.22,225.48,225.56,226.84,223.7,223.48,223.9,225.82,226.83,224.93,224.49,223.68,224.17,223.37,213.12,227.56,227.48,225.83,223.34,224.47,226.33,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.8,0.9,0.7,0.7,0.7,0.8,0.8,0.9,1,0.9,0.9,0.8,0.8,0.9,0.7,0.7,0.9,0.9,1,1,1,0.9
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 1750 ML 008975629102,,57,29,,,,25,,,,,35,,,,,,,,,,150,,,,,26,,,,,,,5,1,,,,1,,,,,1,,,,,,,,,,6,,,,,1,,,,,,,58.59,149.43,,,,128.81,,,,,180.31,,,,,,,,,,128.59,,,,,133.97,,,,,,,0,0,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 1750 ML BOX 008043210989,469,514,776,"2,337",204,148,"1,410",118,71,43,22,"1,420",,,,35,29,,,,,,,,,,,,,"1,397",,,14,17,25,56,5,4,32,3,2,2,1,32,,,,1,1,,,,,,,,,,,,,31,,,172.25,155.63,159.73,216.15,209.83,190.18,228.52,202.35,182.47,110.54,115.93,229.81,,,,180.36,149.43,,,,,,,,,,,,,231.43,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,0,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 200 ML 008469200009,,120,360,180,,60,240,120,420,60,120,240,180,,120,,,240,60,180,,180,,60,180,240,121,120,60,,,180,,2,6,3,,1,4,2,7,1,2,4,3,,2,,,4,1,3,,3,,1,3,4,2,2,1,,,3,,"2,726.82","2,706.32","2,686.12",,"2,726.82","2,696.18","2,726.82","2,709.23","2,726.82","2,726.82","2,696.18","2,686.12",,"2,726.82",,,"2,696.18","2,726.82","2,686.12",,"2,686.12",,"2,726.82","2,686.12","2,696.18","2,692.89","2,726.82","2,726.82",,,"2,686.12",,0,0,0,,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,,0,0,0,0,0,0,,,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 375 ML 008954033351,"4,586","4,267","6,003","4,073","5,989","6,382","6,532","6,543","7,027","3,766","1,288","1,643",556,435,773,656,"1,048",545,363,491,331,144,135,377,134,229,284,110,120,176,220,167,508,485,663,467,632,682,678,691,903,468,149,202,60,41,83,73,101,69,45,62,36,16,12,48,12,21,28,11,19,25,21,13,216.4,210.81,217.07,209.35,227.26,224.44,230.95,227.02,186.56,192.95,207.26,195.23,223.15,252.43,222.21,214.23,248.97,188.56,194.16,189.5,219.01,216.25,267.09,188.47,257.97,266.44,247.02,239.41,151.91,168.98,251.64,307.88,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 500 ML 008469200008,65,195,325,260,520,325,130,195,130,195,325,325,455,195,,260,,130,,245,65,195,65,455,195,260,195,130,195,65,260,130,1,3,5,4,8,5,2,3,2,3,5,5,7,3,,4,,2,,4,1,3,1,7,3,4,3,2,3,1,4,2,"1,160.54","1,167.49","1,168.89","1,170.99","1,168.36","1,168.89","1,170.99","1,167.49","1,170.99","1,167.49","1,168.89","1,168.89","1,169.49","1,167.49",,"1,170.99",,"1,170.99",,"1,103.42","1,160.54","1,167.49","1,160.54","1,169.49","1,167.49","1,170.99","1,167.49","1,170.99","1,167.49","1,160.54","1,170.99","1,170.99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 750 ML 008043211197,"2,799","2,204","1,763",758,484,448,323,125,225,239,"2,907","8,017","5,759","3,305","1,717",986,602,496,153,86,150,164,80,162,39,21,,,55,,,,184,145,108,44,29,28,20,7,13,14,218,580,375,189,97,60,38,28,9,5,9,9,4,8,2,1,,,3,,,,182.6,182.48,196.01,206.84,200.41,192.08,194.14,214.23,207.46,205.03,160.09,165.89,184.18,209.77,212.47,197.36,190.31,212.57,203.61,206.12,200.41,218.01,240.12,243.72,232.22,250.48,,,219.08,,,,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 750 ML 008469200007,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,70,,210,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.98,843.25,,839.88,838.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN 94 PRF 750 ML 008954043965,,,,,,,,,,,,,140,100,60,80,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.02,239.69,239.88,240.12,245.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,PERNOD RICARD S.A.,BEEFEATER,BEEFEATER,BFTR LNDN DRY GIN BTL STPR BOX 1750 ML 008954051081,317,475,30,70,90,35,38,,38,,38,38,76,77,38,38,,,,,,,,,38,38,38,38,,,,,9,14,1,2,2,1,1,,1,,1,1,2,2,1,1,,,,,,,,,1,1,1,1,,,,,181.09,174.45,154.59,179.9,231.31,180.36,198.4,,198.4,,198.4,198.4,196.61,197.89,198.4,198.4,,,,,,,,,195.83,195.83,195.83,195.83,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,
