,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US xAOC,ALCOHOL,GIN,GIN,ALMIGHTY SPIRITS DISTILLER LLC,ALCOHOL INSIDE:,ALCOHOL INSIDE:,ALCH INS LNDN DRY GIN 88 PRF 750 ML 085430200613,,40,60,664,899,"1,598",959,646,239,753,406,573,513,947,120,160,,40,40,,,,,,,,,,307,533,"1,067","1,290",,2,3,44,60,105,63,42,12,47,23,35,32,60,6,8,,2,2,,,,,,,,,,15,27,53,65,,238.8,239.48,181.32,180.95,182.19,182.78,185.72,239.39,191.26,207.79,197.1,193.04,188.9,239.5,239.97,,239.4,238.8,,,,,,,,,,239.94,240.02,239.97,239.98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,ALTAMAR BRANDS LLC,RIGHT GIN,RIGHT GIN,RGHT GIN 750 ML 089862700101,68,367,65,51,,,35,79,302,,,285,49,,,287,609,42,,,,,,,347,27,,,,,,,2,12,2,3,,,1,3,10,,,9,3,,,10,20,3,,,,,,,13,3,,,,,,,407.07,367.08,386.71,203.88,,,421.57,315.92,345.07,,,359.8,197.04,,,360.18,360.02,167.92,,,,,,,331.43,107.96,,,,,,,0,0,0,0,,,0,0,0,,,0,0,,,0,0,0,,,,,,,0,0,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,ANHEUSER-BUSCH IN BEV SA,CUTWATER,CUTWATER OLD GROVE,CTWT OLD GRV GIN 88 PRF 750 ML 067243850001,65,49,803,803,28,29,57,,38,21,40,,20,,,,"1,677",,525,,,,,,525,,"1,752",881,,269,,,3,2,28,28,1,1,2,,2,1,2,,1,,,,57,,18,,,,,,18,,63,31,,18,,,259.92,293.35,344.53,344.53,337.23,349.28,341.2,,230.18,258.43,239.4,,240.84,,,,350.7,,360.13,,,,,,360.13,,336,336.03,,180,,,0,0,0,0,0,0,0,,0,0,0,,0,,,,0,,0,,,,,,0,,0,0,,0,,
Total US xAOC,ALCOHOL,GIN,GIN,ANHEUSER-BUSCH IN BEV SA,CUTWATER,CUTWATER OLD GROVE,CTWT OLD GRV GIN 88 PRF 750 ML 067243850029,32,20,,,22,32,,,32,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,385.42,240.96,,,265.06,385.42,,,385.42,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,ANHEUSER-BUSCH IN BEV SA,CUTWATER,CUTWATER OLD GROVE,CTWT OLD GRV GIN 88 PRF 750 ML 081675102020,"7,046","8,088","12,732","7,105","10,523","12,461","7,448","14,299","13,140","7,341","7,657","11,213","7,352","5,275","8,636","6,928","9,130","8,237","6,185","9,849","11,071","11,148","6,062","8,442","6,704","6,226","9,172","13,762","13,095","14,108","12,591","10,498",264,303,471,264,395,475,280,537,494,276,291,431,278,202,330,278,359,313,237,373,425,427,232,332,254,238,352,510,494,528,472,403,320.57,320.71,324.45,323.19,320.09,314.87,319.07,319.57,319.27,319.01,315.41,312.55,317.47,314.21,314.46,299.01,305.15,316.24,313.79,316.91,312.64,313.69,314.36,305.24,316.79,314.64,312.79,324.14,318.32,320.47,320.45,313.05,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
Total US xAOC,ALCOHOL,GIN,GIN,ANHEUSER-BUSCH IN BEV SA,CUTWATER,CUTWATER OLD GROVE,CTWT OLD GRV GIN 88 PRF 750 ML 081675102022,120,120,175,90,177,147,231,297,317,393,330,392,120,202,234,192,30,210,60,134,235,43,57,201,117,22,248,661,"1,681","1,598",993,57,4,4,6,3,6,5,9,10,14,14,11,14,4,7,8,8,1,7,3,5,10,2,2,7,4,1,11,23,56,53,32,2,360.12,360.12,349.78,359.76,353.86,352.4,307.91,356.42,271.78,337.23,360.14,336.05,360.24,346.36,351.2,288.17,361.33,360.09,239.88,321.01,282.59,260.36,341.2,344.63,351.23,264.7,271.17,344.41,361.89,361.4,371.6,341.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,ARIZONA DISTILLING CO,COMMERCE,COMMERCE,CMRC GIN 750 ML 085477000414,199,195,453,288,367,288,195,249,823,159,189,486,182,255,297,390,330,417,401,324,618,501,773,708,580,785,"1,148","1,618","6,843","1,408",470,971,9,5,14,8,10,8,5,7,31,6,7,18,7,9,10,13,11,15,14,11,21,18,29,28,22,29,43,63,420,54,17,34,265.63,467.51,388.11,431.95,440.31,431.95,467.51,426.57,316.54,318.48,324.07,324.1,313.02,339.88,356.42,359.99,360.14,333.89,343.8,353.59,353.23,334.1,319.09,301.8,316.3,324.8,320.51,308.38,195.77,313.13,331.8,342.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,AUTHENTIC BEVERAGE MANAGEMENT LLC,PEKET DE HOUYEU,PEKET DE HOUYEU,PKT DE HY GIN 750 ML 542502440208,100,82,,65,34,34,70,66,33,99,33,,99,33,33,,96,73,33,,33,33,,29,,,,,,,,,3,3,,3,1,1,2,2,1,3,1,,3,1,1,,3,2,1,,1,1,,1,,,,,,,,,399.88,327.48,,259.88,409.52,409.52,419.04,395.09,396.27,395.08,396.27,,395.08,397.47,397.47,,385.8,436.41,396.27,,397.47,397.47,,349.28,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,,0,,,,,,,,
Total US xAOC,ALCOHOL,GIN,GIN,AZAR DISTILLING LLC,SEERSUCKER,SEERSUCKER,SRSC GIN 84 PRF 750 ML 085033200311,491,610,186,785,"1,076","3,323","3,369","1,373","1,799","1,394","1,198","1,429",878,944,"1,386","1,565","1,142","1,960","1,021","1,198","1,106","1,019","1,152","1,729",911,"1,058","1,657","1,382","1,782","1,267",821,829,19,25,7,31,43,169,179,66,73,56,49,59,36,38,57,64,49,85,44,53,47,43,49,73,39,48,74,64,86,57,36,38,312.2,294.89,318.92,300.86,298.48,236.02,226.51,249.44,295.67,296.74,293.49,292.3,292.88,295.58,293.29,293.07,279.69,276.45,278.48,269.48,280.33,283.65,280.13,283.09,280.83,265.02,270.01,259.82,250.11,268.36,274.29,262.34,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,GIN,GIN,AZZURRE SPIRITS CORP,EMPRESS 1908,EMPRESS 1908,EMPR 190 GIN 85 PRF 50 ML 062845177311,,,,,14,7,7,7,7,21,,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,3,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,"1,270.91","1,165.00","1,165.00","1,165.00","1,165.00","1,233.53",,"1,245.88","1,233.53","1,233.53","1,233.53","1,233.53",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,
