,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,AMERICAN WINE DISTRIBUTORS INC,REVOLUCION,REVOLUCION,RVLC ANJ TQL 750 ML 060283185140,,,,,,,,,,,,,,519,,,,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,659.74,,,,,,,,,,329.95,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,"ARTA HOLDINGS, LLC",ARTA,ARTA,ART ANJ TQL 750 ML 085268400202,,88,88,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.14,264.14,227.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,CAZADORES,CAZADORES,CZDR ANJ TQL 80 PRF 1000 ML 008048017251,"3,668","3,876","5,003","4,734","6,459","7,415","5,002","4,085","3,584","1,184",875,"1,312",208,77,103,,,,,103,25,,99,20,,,,,,,99,,88,93,120,114,155,178,120,98,86,33,21,32,5,3,4,,,,,3,1,,4,1,,,,,,,4,,375.17,375.16,375.23,373.81,375.07,374.93,375.21,375.14,375.13,322.88,375.17,369.17,374.1,231.62,231.62,,,,,308.38,222.61,,222.61,180.09,,,,,,,222.61,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,,,,,0,0,,0,0,,,,,,,0,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,CAZADORES,CAZADORES,CZDR ANJ TQL 80 PRF 750 ML 008048017252,"97,033","93,774","116,601","93,556","128,827","151,862","120,347","115,028","137,575","107,090","126,509","189,796","110,383","98,657","129,533","102,315","129,411","153,059","126,987","114,418","154,899","115,047","117,850","224,782","136,439","123,706","199,925","197,181","257,189","263,884","202,606","184,410","2,809","2,663","3,318","2,698","3,782","4,424","3,496","3,352","4,057","3,159","3,792","5,542","3,150","2,767","3,666","2,961","3,716","4,371","3,570","3,227","4,344","3,374","3,476","6,879","4,197","3,812","6,206","6,037","7,953","8,183","6,292","5,715",414.63,422.8,421.84,416.33,408.92,412.09,413.22,412.02,407.13,406.98,400.56,411.1,420.73,428.01,424.19,414.88,418.03,420.34,426.98,425.62,428.09,409.39,407.06,392.28,390.23,389.55,386.73,392.09,388.23,387.11,386.56,387.34,1.4,1.3,1.3,1.4,1.8,1.6,1.6,1.5,1.5,1.5,1.6,1.9,1.5,1.4,1.4,1.5,1.8,1.9,2.1,2,2,2,2,2.7,2.2,2.1,2.6,3,3.3,2.9,2.8,2.7
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,CAZADORES,CAZADORES,CZDR ANJ TQL 80 PRF 750 ML 008048098424,,,,,,,,,,,,,,,,,,,,,,,,,,"1,497","5,528","2,517","11,984","15,456","9,359","11,329",,,,,,,,,,,,,,,,,,,,,,,,,,38,135,70,301,394,235,306,,,,,,,,,,,,,,,,,,,,,,,,,,477.48,490.12,430.69,477.9,471.26,477.97,444.15,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,CAZADORES,CAZADORES,CZDR DRNK CNTN ANJ TQL 80 PRF 1 CT 008048000126,20,119,,,,277,237,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,19.99,39.59,,,,19.79,19.79,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,CORZO,CORZO,CRZ ANJ TQL 750 ML 008048017158,"2,281","1,994","4,037","1,669","4,963","3,743","1,685","2,476","2,720","1,652","1,953","4,541","3,091","3,547","4,942","2,823","3,572","4,825","3,306","2,546","2,641","4,498","3,266","6,041","3,192","4,063","5,422","7,392","5,785","4,898","5,352","2,358",47,46,81,34,90,74,36,53,55,38,39,89,63,69,94,55,74,97,67,50,53,83,63,116,62,79,104,142,120,101,105,50,587.86,520.33,599.29,589.2,661.34,608.45,561.72,560.61,590.5,521.84,604.36,613.58,592.99,616.62,634.03,621.21,578.34,594.18,591.11,608.69,603.94,649.23,620.17,623.19,616.73,613.99,624.1,627.09,577.49,580.64,613.43,566.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,CORZO,CORZO,CRZ ANJ TQL 80 PRF 375 ML 008048000051,786,394,793,"1,990","1,197",396,"1,189",797,816,,"1,227","1,582",,,,,,,,,,,,,,,,,,,,,25,12,25,62,37,12,37,25,26,,38,49,,,,,,,,,,,,,,,,,,,,,767.14,766.77,767.39,767.19,767.06,766.65,767.35,767.27,767.28,,767.16,767.02,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,PATRON,GRAN PATRON,GRN PTR ANJ TQL 80 PRF CRDB 750 ML 072173300097,"1,167","3,152","1,240","1,228","2,574","3,479","1,704","1,245","2,237","6,081","1,740","4,991","3,202","1,752",852,"3,191","2,096","4,519","1,840","2,031","2,781","2,001","3,333","3,569","2,768","18,894","2,386","2,664","2,947","3,233","4,806","2,591",3,8,3,3,6,8,4,3,5,13,4,12,7,4,2,7,5,11,4,5,7,5,8,10,6,86,10,8,7,8,12,6,"4,667.12","4,732.69","4,959.96","4,913.88","5,147.20","5,223.12","5,116.58","4,978.96","5,364.37","5,615.19","5,224.99","4,990.82","5,463.48","5,262.55","5,100.06","5,474.10","5,027.12","4,933.67","5,526.88","4,870.62","4,770.17","4,799.50","4,996.40","4,284.91","5,535.52","2,639.25","2,864.00","3,999.43","5,055.08","4,832.71","4,806.27","5,182.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,PATRON,PATRON,PTRN ANJ TQL 750 ML HLDY PRTY DCRT FVR 072173300149,,,,,,57,,,,,,55,,,,,,,,96,96,32,41,30,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,3,3,1,1,1,,,,,,,,,,,,,,686.63,,,,,,666.02,,,,,,,,383.88,383.88,385.42,493.61,361.45,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,0,0,0,0,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA ANEJO,BACARDI LTD,PATRON,PATRON,PTRN ANJ TQL 80 PRF 1750 ML 072173300090,,659,"1,600","1,069","1,164","1,806","1,175","1,586","2,818","1,604","4,201","3,526","3,092","2,281","2,395","2,263","2,908","4,507","2,967","2,075","3,397","3,057","1,850","3,904","4,741","2,179","8,037","11,252","12,785","16,893","14,206","6,957",,7,15,9,10,15,10,14,25,14,37,31,27,20,21,20,25,38,25,18,30,27,16,33,40,19,70,98,108,142,119,62,,484.03,548.86,610.69,598.51,619.29,604.27,582.54,588.34,589.15,586.88,587.04,587.92,583.84,585.47,582,598.43,610.09,610.44,592.98,584.77,585.73,594.9,608.62,613.22,589.82,590.63,590.62,608.94,611.96,613.24,577.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0
