,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BLACK ROCK SPIRITS LLC,SPARKLE DONKEY,SPARKLE DONKEY,SPRK DNK RPSD TQL 80 PRF 750 ML 066318800086,"2,610",273,"2,620",572,"2,128",955,"1,105","1,575","1,192",810,425,432,83,268,682,246,806,"1,335","5,507","7,508","8,576","5,948","7,821","11,838","11,935","12,125","17,425","16,755","17,423","11,372","22,426","21,606",74,8,74,17,60,27,29,41,32,21,11,11,3,7,17,6,20,31,122,187,215,148,198,298,349,393,556,536,586,370,742,716,426.15,409.79,424.08,403.84,424.34,421.34,454.9,459.29,447.09,469.26,463.77,471.5,331.88,459.57,485.53,491.88,486.58,517,541.84,482,478.85,482.51,473.38,476.73,410.86,370.61,376.46,375.24,356.93,368.92,363.08,362.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BLUE NECTAR SPIRITS COMPANY LLC,DON MIGUELON BLUE NECTAR,DON MIGUELON BLUE NECTAR,DON MGL BL NCT RPSD TQL 750 ML 079357391166,658,"1,771","2,277","1,094","1,526","5,004","1,939","2,226","1,017",170,279,472,503,384,190,927,288,706,"1,868",49,666,,213,,,368,193,193,,,45,292,19,41,53,26,36,173,63,60,31,6,6,10,13,8,8,22,6,30,82,1,16,,5,,,8,4,4,,,1,6,415.45,515.89,514.26,510.86,516.2,348.05,371.47,447.6,387.62,339.88,574.66,539.98,476.33,553.12,285.17,512.8,540.05,278.91,274.6,590.24,499.46,,528.1,,,528.39,527.88,527.88,,,538.43,600.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,ANTIGUO DE HERRADURA,ANTIGUO DE HERRADURA,ANTG DE HRD RPSD TQL 80 PRF 750 ML 074460705050,,29,44,,,29,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,349.28,263.41,,,349.28,,,,,,,,,,,,,,,,,,,,,,,,11.87,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,DON EDUARDO,DON EDUARDO,DON EDR RPSD TQL 750 ML 008330003261,48,45,,93,78,109,,33,42,,38,123,38,,147,,49,39,,,,,49,87,,,,,,,392,,1,1,,2,2,3,,1,1,,1,3,1,,3,,1,1,,,,,1,2,,,,,,,9,,578.19,542.05,,557.37,466.71,435.48,,396.67,505.9,,457.71,491.88,457.71,,587.88,,590.24,469.52,,,,,589.05,523.77,,,,,,,504.21,,0,0,,0,0,0,,0,0,,0,0,0,,0,,0,0,,,,,0,0,,,,,,,0,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD DRNK CNTN RPSD TQL 80 PRF 1 CT 074460700370,"114,007","25,760","29,668","55,160","51,940","18,329","13,983","6,552","9,753","19,148","121,393","383,544","78,498","27,899","20,815","12,781","20,943","15,056","11,534","6,158","13,313","17,594","117,709","374,240","103,946","38,648","54,851","38,144","38,475","34,681","17,235","23,207","7,424","1,671","1,886","3,669","3,444","1,142",907,406,601,"1,127","7,583","24,210","5,238","1,861","1,369",851,"1,452",969,747,407,889,"1,065","8,151","23,404","6,593","2,270","3,480","2,226","2,256","2,041",969,"1,188",15.36,15.42,15.73,15.03,15.08,16.04,15.42,16.14,16.23,17,16.01,15.84,14.99,14.99,15.2,15.02,14.43,15.54,15.45,15.14,14.97,16.52,14.44,15.99,15.77,17.02,15.76,17.13,17.05,17,17.79,19.53,0.6,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.3,2,3.7,1.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,1.2,2.7,0.8,0.4,0.3,0.2,0.2,0.1,0.1,0.2
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD DRNK CNTN RPSD TQL 80 PRF 1 CT 074460720678,,,,,,,,"1,164",,"2,098","9,635","66,408","18,014","10,390","7,090","6,016","13,636","7,282","6,478","7,015","1,910","5,684","4,513",983,745,,432,,,,,,,,,,,,,61,,126,679,"4,103","1,213",629,374,321,850,436,435,420,96,323,221,50,36,,24,,,,,,,,,,,,,18.99,,16.63,14.19,16.19,14.85,16.51,18.98,18.73,16.04,16.72,14.89,16.72,19.99,17.58,20.43,19.51,20.66,,17.99,,,,,,,,,,,,,0,,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0,,0,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD DRNK CNTN RPSD TQL 80 PRF 1 CT 074460722848,,,,,,,,,23,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99,,,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD DRNK CNTN SET RPSD TQL 1 CT 074460705006,80,49,22,754,"1,149",,,,,,54,107,32,45,,,11,,90,,,,,,,,,15,17,,,,5,3,1,36,54,,,,,,3,6,2,2,,,1,,6,,,,,,,,,1,1,,,,15.97,16.32,21.9,20.99,21.32,,,,,,17.99,17.82,15.99,22.49,,,10.98,,15,,,,,,,,,14.99,16.99,,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,0,,,,,,,,,0,0,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 1000 ML 074460706930,"13,855","18,717","19,106","16,348","15,687","15,660","20,072","14,410","15,060","19,491","18,113","28,026","17,123","14,063","17,020","16,651","20,307","21,766","18,925","16,410","23,534","16,227","18,891","34,334","16,018","12,981","19,010","18,574","18,584","21,447","15,272","14,119",641,964,933,768,754,721,"1,053",698,705,998,867,"1,338",785,639,780,815,"1,016","1,011",899,774,"1,093",755,969,"1,840",812,585,841,821,817,940,672,620,194.44,174.72,184.38,191.59,187.28,195.43,171.55,185.77,192.19,175.78,188.03,188.54,196.23,198.09,196.34,183.85,179.98,193.69,189.4,190.72,193.83,193.48,175.57,168,177.57,199.75,203.44,203.75,204.72,205.29,204.69,204.95,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 1750 ML 074460704980,"168,284","149,704","196,110","166,300","208,834","235,003","177,346","167,484","225,388","164,693","177,622","264,024","167,894","170,096","203,756","165,599","192,137","248,290","198,724","183,814","237,677","176,597","173,368","267,856","165,627","163,518","266,107","243,189","279,321","323,097","247,200","226,569","5,747","4,960","6,540","5,585","7,198","7,956","5,832","5,536","7,509","5,417","5,812","8,790","5,470","5,582","6,710","5,455","6,305","8,084","6,433","5,942","7,738","5,746","5,640","8,777","5,303","5,455","8,531","7,691","8,877","10,258","7,850","7,133",150.63,155.26,154.26,153.17,149.24,151.95,156.42,155.62,154.41,156.39,157.2,154.51,157.88,156.76,156.2,156.17,156.76,158,158.9,159.14,158,158.1,158.14,156.98,160.65,154.21,160.47,162.65,161.85,162.02,161.98,163.4,1.7,1.6,1.7,1.8,2,1.9,1.9,1.8,1.9,1.8,1.9,2.1,1.9,2,1.9,1.9,2,2.2,2.2,2.2,2.2,2.1,2.1,2.3,2,2,2.3,2.8,3.2,3.1,3.1,2.8
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 200 ML 074460706970,477,76,405,"1,071",413,290,86,74,258,476,382,171,127,310,339,245,833,845,182,367,210,65,159,61,50,83,81,68,90,108,40,48,69,11,59,155,60,42,16,11,43,84,62,25,20,57,59,45,155,146,34,54,30,10,23,9,7,13,12,10,16,18,6,7,313.91,312.66,311.49,310.93,311.45,307.87,242.09,302.83,270.93,254.43,278.31,301.58,290.97,244.5,259.59,242.7,242.66,261.38,237.98,304.06,310.86,294.6,311.68,304.55,322.13,286.82,305.98,305.9,254.65,270.93,300.3,310.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 375 ML 074460706960,"7,373","7,562","10,659","7,255","8,039","8,568","4,185","6,917","8,023","6,257","7,576","7,189","4,011","4,499","4,344","5,450","3,707","4,303","4,253","4,096","4,453","4,493","3,585","6,367","4,675","5,304","5,714","4,359","3,981","3,203","3,308","3,632",632,624,890,624,685,724,360,579,669,536,640,614,341,385,374,462,331,387,373,346,380,390,315,548,399,470,496,380,348,283,295,315,279.96,290.49,287.33,278.6,281.6,283.89,278.52,286.36,287.44,280.15,283.81,280.99,281.89,280.26,278.65,283.04,268.7,266.97,273.15,283.67,280.82,276.06,272.59,278.59,281.21,270.45,276.26,275.02,274.11,271.89,268.5,276.91,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 50 ML 074460706940,"6,616","7,462","8,917","5,714","6,852","6,515","6,507","5,439","7,588","5,123","5,891","13,051","5,933","5,714","7,654","6,024","8,020","7,744","6,821","5,921","7,811","5,578","6,005","8,122","5,179","5,349","5,875","5,038","5,891","3,967","3,957","4,931","2,994","3,176","3,798","2,428","2,894","2,756","2,818","2,316","3,246","2,111","2,424","5,347","2,359","2,337","3,083","2,435","3,276","3,228","2,792","2,392","3,108","2,215","2,420","3,245","2,060","2,197","2,385","2,049","2,453","1,715","1,846","2,210",394.56,419.63,419.22,420.19,422.85,422.12,412.34,419.35,417.49,433.43,433.98,435.83,449.21,436.52,443.29,441.81,437.13,428.35,436.2,441.96,448.77,449.66,443.06,446.92,449.01,434.74,439.86,439.13,428.88,413.15,382.77,398.44,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 750 ML 074460706220,,,,,,,,,30,,20,,,,,,,31,,,16,31,,,,19,,,,17,31,60,,,,,,,,,2,,2,,,,,,,2,,,1,2,,,,1,,,,1,2,3,,,,,,,,,179.4,,119.52,,,,,,,185.75,,,186.87,185.75,,,,224.34,,,,203.74,184.79,239.88,,,,,,,,,0,,0,,,,,,,0,,,0,0,,,,0,,,,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR,EL JIMADOR,EL JMD RPSD TQL 80 PRF 750 ML 074460706920,"607,922","579,549","740,142","610,349","692,711","777,984","650,606","578,675","714,110","521,720","569,447","799,456","601,488","595,875","734,506","618,680","694,808","787,911","676,339","626,162","734,316","568,413","559,988","888,299","593,602","546,774","839,853","853,619","944,263","946,725","742,198","680,601","36,824","34,331","44,634","37,553","42,101","46,781","38,480","33,488","41,339","30,089","33,017","47,099","35,378","34,611","43,842","37,611","41,456","45,830","38,840","35,976","41,959","32,674","32,427","53,252","34,627","30,928","47,794","47,563","52,063","51,601","40,424","36,847",198.19,202.65,199.07,195.11,197.52,199.65,202.97,207.45,207.38,208.15,207.05,203.77,204.1,206.68,201.12,197.47,201.2,206.39,209.05,208.94,210.1,208.84,207.31,200.25,205.79,212.23,210.95,215.45,217.73,220.25,220.41,221.74,10.4,10.5,10.5,10.8,11.7,10.9,10.7,10.1,9.8,9.5,10.1,10.5,10.1,9.8,9.8,10.5,11.2,10.9,11.4,10.8,10.6,10.3,10.2,11.4,10.2,10,10.8,12.4,13.3,11.8,11.7,10.9
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,EL JIMADOR & FRESCA,EL JIMADOR & FRESCA,EL JMD & FRS RPSD TQL SPRK SD 1 CT 074460720374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,"4,287","4,983","3,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,261,308,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99,16.43,16.18,17.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR DRNK CNTN RPSD TQL PPRW 1 CT 074460705010,,,,,39,39,,39,,116,39,39,,39,,,,,,,,,,39,,,,,,,,41,,,,,1,1,,1,,3,1,1,,1,,,,,,,,,,1,,,,,,,,1,,,,,38.77,38.77,,38.77,,38.77,38.77,38.77,,38.77,,,,,,,,,,39.46,,,,,,,,41.05,,,,,0,0,,0,,0,0,0,,0,,,,,,,,,,0,,,,,,,,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 11 MO 80 PRF 375 ML 074460701260,"2,635","3,018","2,988","2,141","2,267","3,460","1,889","1,417","2,283","1,752","2,034","3,867","2,774","2,146","3,011","2,778","2,483","2,299","2,486","1,769","2,148","2,433","2,560","5,591","3,951","3,018","3,892","2,932","4,792","6,593","4,137","3,816",149,157,175,122,129,176,107,79,127,100,124,228,167,119,166,147,138,126,126,98,120,131,137,309,213,168,209,158,252,357,230,205,424.1,462.08,409.46,422.22,422.15,471.13,423.34,430.03,430.01,422.13,393.39,407.07,398.32,433.65,435.3,454.44,431.47,437.61,473.7,432.84,429.21,444.96,447.34,434.48,444.4,431.13,446.61,443.93,455.9,442.29,431.99,446.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 11 MO 80 PRF 50 ML 074460701240,,10,,45,90,223,162,62,30,30,65,60,70,65,105,30,60,35,65,105,95,55,96,185,30,110,90,135,186,158,240,340,,2,,12,29,88,62,18,6,6,13,12,14,13,21,6,12,7,13,21,19,11,19,37,6,22,18,28,46,45,108,160,,907.27,,652.48,551.1,452.93,464.03,605.51,880.59,880.59,888.63,893.73,895.64,888.63,888.05,880.59,893.73,895.64,888.63,888.05,894.43,885.32,893.08,891.25,880.59,892.52,889.31,861.08,719.96,627.42,395.92,379,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 80 PRF 1000 ML 074460705039,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.77,,,396.31,405.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 80 PRF 750 ML 074460700036,149,228,210,207,"4,163","3,382","2,890","3,621","3,320","1,742","1,325",939,252,387,30,128,98,238,373,173,218,"1,051","2,946","6,945","1,246",752,"1,393","1,049","1,206",713,256,236,3,4,4,4,125,105,86,117,93,49,38,26,5,10,1,3,2,5,7,4,4,26,77,205,32,20,35,27,31,16,4,6,597.88,684.57,630.51,621.47,399.78,386.62,403.36,371.58,428.61,426.72,418.62,433.3,604.2,464.38,361.21,511.84,586.71,570.62,639.67,519.4,654.54,485.11,459.34,406.67,467.24,451.26,477.59,466.33,466.96,534.76,768.65,471.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 80 PRF 750 ML 074460700237,,,,,"4,228","12,566","4,343",230,50,276,368,368,,92,218,92,,161,,,,,,279,92,,,,92,,,92,,,,,34,100,36,3,1,3,4,4,,1,4,1,,2,,,,,,3,1,,,,1,,,1,,,,,"1,485.53","1,503.45","1,447.65",919.88,602.29,"1,103.88","1,104.99","1,104.99",,"1,108.31",654.54,"1,108.31",,963.95,,,,,,"1,106.07","1,108.31",,,,"1,108.31",,,"1,108.31",,,,,0,0.1,0,0,0,0,0,0,,0,0,0,,0,,,,,,0,0,,,,0,,,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 80 PRF 750 ML 074460700284,140,,,140,90,81,,,16,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,838.2,,,838.2,"1,084.22",193.05,,,193.98,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 80 PRF 750 ML 074460700310,,,,,,,60,,60,,,87,,,,,,,,,,,,,,,,,,,87,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,722.41,,722.41,,,"1,054.10",,,,,,,,,,,,,,,,,,,"1,054.10",,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,0,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,BROWN-FORMAN CORPORATION,HERRADURA,HERRADURA,HRDR RPSD TQL 80 PRF 750 ML 074460711132,"182,039","164,568","222,529","175,861","201,507","242,834","195,018","190,215","254,248","175,861","219,772","426,685","230,994","201,514","246,734","221,089","258,376","299,213","260,952","235,313","282,221","216,132","225,634","462,773","259,542","214,627","344,811","336,598","425,906","494,812","370,462","344,046","4,697","4,177","5,693","4,594","5,272","6,375","5,020","4,927","6,645","4,611","5,826","11,415","6,115","5,291","6,361","5,734","6,685","7,756","6,666","6,093","7,404","5,593","5,794","12,006","6,541","5,376","8,576","8,320","10,452","12,029","9,002","8,389",465.25,473,469.22,459.53,458.89,457.31,466.32,463.49,459.3,457.84,452.83,448.72,453.49,457.24,465.64,462.85,463.96,463.14,469.96,463.65,457.58,463.88,467.48,462.73,476.36,479.23,482.68,485.68,489.18,493.83,494.03,492.33,2.1,2,2,2.1,2.4,2.3,2.2,2.2,2.2,1.9,2.3,3,2.4,2.3,2.2,2.5,2.7,2.6,2.9,2.7,2.6,2.4,2.6,3.6,2.6,2.4,3,3.6,4.3,4,3.9,3.6
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CABRESTO IMPORTS CORP,CABRESTO,CABRESTO,CBRS RPSD TQL 80 PRF 750 ML 750301043701,,510,527,270,542,"1,112",,576,294,304,306,,,292,,,,,,,,,,,,,,,310,934,630,322,,16,17,9,18,36,,19,9,10,10,,,9,,,,,,,,,,,,,,,10,30,20,10,,372.06,372.1,371.88,371.97,372,,371.96,371.8,372.11,372.03,,,371.8,,,,,,,,,,,,,,,372.1,371.98,371.95,371.88,,0,0,0,0,0,,0,0,0,0,,,0,,,,,,,,,,,,,,,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CALENDE IMPORT COMPANY,CALENDE,CALENDE,CLND RPSD TQL 80 PRF 750 ML 008427997436,,33,30,,46,71,42,,,,,,,,,21,21,,,,,,,,,,,26,14,52,30,11,,2,2,,2,4,3,,,,,,,,,1,1,,,,,,,,,,,2,1,3,2,1,,199.16,182.4,,272.93,212.43,166.92,,,,,,,,,249.28,249.28,,,,,,,,,,,156.07,168.43,207.84,179.52,132.41,,0,0,,0,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CALIFORNIA TEQUILA LLC,ASOM BROSO,ASOM BROSO,ASM BRS RPSD TQL 80 PRF 750 ML 085636500038,116,140,650,51,123,315,,27,63,163,,60,,200,70,60,60,264,,33,60,33,,"1,604",,70,133,273,63,70,102,,2,2,14,1,2,5,,1,1,3,,1,,5,1,1,1,6,,1,1,1,,27,,1,2,4,1,1,2,,694.49,838.2,557.55,615.66,736.41,755.28,,322.53,758.92,653.88,,722.77,,479.57,843.25,722.77,722.77,527.88,,403.49,722.77,403.49,,720.31,,843.25,796.29,819.7,758.92,843.25,613.65,,0,0,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CAMPARI GROUP,CABO WABO,CABO WABO,CB WB RPSD TQL 80 PRF 375 ML 072105974376,110,,,114,113,,116,"1,349","4,553","3,672","3,540","1,184",21,,,,,,,,,,,,21,,,,,,,,5,,,5,5,,5,86,324,268,243,91,1,,,,,,,,,,,,1,,,,,,,,525.36,,,525.62,527.45,,526.04,378.5,337.35,328.64,349.36,313.64,499.76,,,,,,,,,,,,499.76,,,,,,,,0,,,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CAMPARI GROUP,CABO WABO,CABO WABO,CB WB RPSD TQL 80 PRF 750 ML 072081591013,"73,591","82,412","119,247","98,873","119,930","125,933","138,019","93,811","114,899","76,910","80,204","135,258","74,774","77,936","102,879","87,580","114,124","136,863","129,382","106,700","115,481","78,969","76,927","135,341","83,013","88,311","135,497","160,288","218,927","223,542","186,337","143,243","2,128","2,356","3,449","3,172","3,435","3,569","4,228","2,661","3,253","2,222","2,272","3,847","2,065","2,154","2,943","2,511","3,229","3,803","3,732","3,020","3,228","2,207","2,199","3,811","2,432","2,609","3,822","4,710","6,315","6,394","5,341","4,012",415.13,419.95,415.01,374.15,419.17,423.56,391.85,423.27,424.06,415.56,423.77,422.13,434.63,434.38,419.68,418.74,424.24,432.01,416.13,424.09,429.44,429.58,419.97,426.31,409.85,406.42,425.63,408.51,416.17,419.73,418.8,428.64,1.2,1.4,1.5,1.5,1.8,1.6,1.8,1.5,1.5,1.3,1.4,1.7,1.3,1.3,1.5,1.5,1.8,1.7,1.9,1.7,1.5,1.4,1.3,1.8,1.4,1.4,1.7,2.2,2.7,2.5,2.3,2
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CAMPARI GROUP,ESPOLON,ESPOLON,ESPL RPSD TQL 80 PRF 1000 ML 072105970101,"2,417","1,780","2,308","1,365","2,606","3,283","3,715","3,920","5,624","3,499","4,372","3,766","1,664","1,760","4,253","5,279","4,809","3,785","4,941","4,366","4,808","4,575","4,963","5,286","2,727","4,210","4,762",,"1,601","7,690","3,326",201,87,63,88,51,96,120,143,145,210,140,179,151,69,69,165,205,202,153,183,158,176,182,205,217,108,156,180,,44,220,96,6,250.45,255.17,236.44,240.46,245.09,246.62,233.54,243.82,240.65,224.36,219.78,224.63,215.86,229.15,231.38,231.31,213.96,222.25,242.94,248.29,245.34,226.14,217.53,218.93,226.96,242.93,238.13,,327.68,314.18,313.31,310.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Total US xAOC,ALCOHOL,TEQUILA,TEQUILA REPOSADO,CAMPARI GROUP,ESPOLON,ESPOLON,ESPL RPSD TQL 80 PRF 1750 ML 066480400136,"1,694",724,"3,107","1,769","2,675","2,010","2,994","3,953","2,613","1,390","2,022","3,128","1,366","1,065","4,071","3,389","7,868","8,380","10,704","10,256","12,409","8,187","7,734","10,108","8,115","9,055","27,076","34,551","46,452","46,508","30,283","27,531",35,16,63,37,58,43,62,78,56,31,41,63,29,24,84,76,166,181,236,243,286,184,168,224,177,207,599,732,951,"1,011",660,603,251.96,232.75,252.76,243.38,237.29,240.41,248.71,259.07,241.09,230.62,255.81,255.16,238.76,228.2,248.46,229.41,243.79,237.65,233.7,216.68,223.36,228.52,236.76,232.38,236.01,225.02,232.43,242.92,251.18,236.53,236.06,234.7,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3
