,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE VDK 750 ML 081519700015,476,822,"1,216",127,68,73,65,,9,57,436,829,19,16,79,9,,,,19,13,,,,,,,,,,,,30,53,72,8,6,5,4,,1,3,23,44,1,1,7,1,,,,1,1,,,,,,,,,,,,193.45,185.90,202.66,190.12,135.00,174.75,196.64,,105.30,226.56,224.44,227.95,227.47,193.49,135.78,113.74,,,,227.47,156.87,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE VDK 80 PRF 750 ML 081519700116,781,797,319,621,564,324,153,171,342,457,548,222,88,154,66,144,150,527,544,150,"1,738","1,213",768,"1,729",597,540,"1,172",988,"4,699","5,208","2,721","3,854",36,32,16,28,25,17,8,9,18,19,23,10,4,7,3,6,6,25,23,7,89,130,40,89,32,28,59,52,251,286,152,214,263.97,301.41,239.19,266.54,271.14,227.93,227.82,228.08,228.03,285.47,282.77,266.39,264.14,264.03,263.88,287.88,299.88,255.98,284.29,258.03,234.44,111.61,229.11,233.12,221.60,235.63,240.41,230.20,225.04,218.26,214.65,215.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,21ST CENTURY SPIRITS LLC,BLUE ICE,BLUE ICE,BL ICE VDK 80 PRF 750 ML 081519700220,"4,655","4,006","5,979","3,023","3,751","3,888","2,654","3,164","3,538","2,340","2,745","3,347","1,782","2,618","2,585","2,576","3,080","4,945","1,299",383,340,,157,157,469,624,478,169,476,476,171,476,522,469,674,385,420,431,302,347,379,259,309,338,202,290,295,285,332,761,149,38,28,,12,12,36,48,37,13,37,37,13,37,107.08,102.50,106.49,94.18,107.31,108.36,105.50,109.43,112.19,108.54,106.73,118.88,105.76,108.41,105.19,108.65,111.39,78.00,104.50,119.95,144.10,,155.98,155.98,155.96,155.96,154.97,153.25,155.93,155.93,155.07,155.93,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,28 MILE VODKA COMPANY,28 MILE,28 MILE,28 ML VDK 750 ML 086048500190,,,,,,,,,,,,,,,,,,,,,270,351,247,"1,623","1,639","1,521",276,324,527,806,465,353,,,,,,,,,,,,,,,,,,,,,10,13,9,59,61,55,10,12,19,28,17,13,,,,,,,,,,,,,,,,,,,,,324.01,323.98,329.08,330.17,322.58,332.01,331.21,323.88,332.79,345.51,328.14,325.83,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,3 HOWLS DISTILLERY,3 HOWLS,3 HOWLS,3 HWL VDK BLD ORNG 80 PRF 750 ML 085877100400,141,177,208,308,198,171,128,155,208,131,134,181,54,30,81,27,60,,33,81,152,34,,34,34,63,30,43,48,59,"1,233",129,6,7,9,13,8,7,5,6,8,5,5,7,2,1,3,1,2,,1,3,8,1,,1,1,2,1,3,2,3,45,5,281.52,304.12,277.60,284.05,296.91,293.79,306.69,309.76,312.66,313.81,322.28,310.14,323.23,361.33,323.48,325.18,362.16,,403.49,323.48,228.03,409.52,,409.52,409.52,380.12,361.33,173.64,287.19,235.98,326.95,310.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,375 PARK AVENUE SPIRITS,SOBIESKI,SOBIESKI,SBSK VDK 750 ML 590022600865,433,603,471,360,479,566,400,580,446,748,480,711,"2,843","1,778","2,429","1,512","2,714","3,399","3,878","5,179","2,385",488,440,765,360,340,440,200,620,520,480,460,22,30,24,18,24,28,20,29,22,37,24,36,221,127,211,127,251,341,413,547,234,36,22,38,18,17,22,10,31,26,24,23,236.11,241.34,235.67,240.04,239.51,242.59,239.98,239.95,243.20,240.00,240.00,239.99,154.13,167.87,138.27,142.57,129.78,119.83,112.83,113.72,122.16,163.10,239.92,239.38,240.04,239.99,239.92,239.98,240.00,239.95,240.00,239.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total US xAOC,ALCOHOL,VODKA,VODKA,375 PARK AVENUE SPIRITS,SOBIESKI,SOBIESKI,SBSK VDK 80 PRF 1000 ML 008901600821,"20,755","21,341","25,433","18,593","21,998","29,694","25,576","20,502","27,854","17,654","18,335","21,087","15,826","18,936","17,429","13,347","14,530","23,922","15,830","21,036","19,496","13,760","14,378","19,823","15,672","15,187","21,445","14,338","14,991","17,897","17,351","15,419","1,589","1,639","1,960","1,437","1,699","2,286","1,973","1,583","2,148","1,370","1,426","1,630","1,222","1,473","1,363","1,028","1,121","1,837","1,218","1,637","1,519","1,076","1,125","1,561","1,223","1,187","1,671","1,104","1,147","1,372","1,327","1,183",117.54,117.23,116.81,116.49,116.54,116.89,116.66,116.61,116.73,115.98,115.72,116.44,116.55,115.70,115.11,116.85,116.67,117.21,117.03,115.66,115.56,115.08,115.07,114.31,115.36,115.14,115.53,116.94,117.60,117.42,117.74,117.31,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Total US xAOC,ALCOHOL,VODKA,VODKA,375 PARK AVENUE SPIRITS,SOBIESKI,SOBIESKI,SBSK VDK 80 PRF 1750 ML 008901600820,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,VODKA,VODKA,375 PARK AVENUE SPIRITS,SOBIESKI,SOBIESKI,SBSK VDK 80 PRF 1750 ML BOX W/FLSK 008901601404,54,,,,20,,,,,,,12,,,24,,12,,,,,,12,72,12,,,,,,,,3,,,,2,,,,,,,1,,,2,,1,,,,,,1,6,1,,,,,,,,92.57,,,,51.41,,,,,,,61.80,,,61.65,,61.80,,,,,,61.80,61.70,61.80,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,,,
Total US xAOC,ALCOHOL,VODKA,VODKA,375 PARK AVENUE SPIRITS,SOBIESKI,SOBIESKI,SBSK VDK 80 PRF 200 ML 008901600824,"3,184","3,476","4,627","3,568","3,622","4,496","3,583","3,657","4,279","3,548","3,713","4,570","3,147","3,075","3,567","3,370","3,287","4,436","3,351","4,145","5,999","5,731","5,161","3,865","3,024","3,399","3,683","2,361","2,210","2,846","2,125","2,468","1,186","1,298","1,720","1,338","1,357","1,700","1,352","1,372","1,590","1,328","1,365","1,699","1,183","1,134","1,353","1,268","1,251","1,632","1,271","1,551","2,258","2,153","1,949","1,463","1,125","1,288","1,407",901,759,946,706,803,120.90,120.60,121.20,120.16,120.23,119.15,119.37,120.07,121.21,120.31,122.52,121.13,119.84,122.17,118.77,119.67,118.35,122.42,118.77,120.36,119.66,119.94,119.27,119.03,121.07,118.90,117.92,118.06,131.14,135.56,135.55,138.37,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2
